Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1964","1964","1000 USD","2751","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1964","1964","t","144168","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1964","1964","1000 USD","31498","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1965","1965","t","7730","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1965","1965","1000 USD","3243","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1965","1965","t","164770","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1965","1965","1000 USD","41542","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1966","1966","t","8813","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1966","1966","1000 USD","3356","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1966","1966","t","214391","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1966","1966","1000 USD","47021","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1967","1967","t","7978","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1967","1967","1000 USD","3031","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1967","1967","t","222663","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1967","1967","1000 USD","46712","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1968","1968","t","17530","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1968","1968","1000 USD","5655","A","Official figure",""
